word,pronunciation
abalone,/ˌæbəˈloʊni/
aberrant,/æˈbɛrənt/
absenteeism,/ˌæbsənˈtiːɪzəm/
accelerator,/əkˈsɛləˌreɪtər/
amorphous,/əˈmɔrfəs/
anachronistic,/əˌnækrəˈnɪstɪk/
anathema,/əˈnæθəmə/
apocryphal,/əˈpɒkrɪfəl/
arboreal,/ɑːrˈbɔːrɪəl/
arcana,/ɑːrˈkeɪnə/
assiduous,/əˈsɪdjʊəs/
atrophy,/ˈætrəfi/
attenuate,/əˈtɛnjuˌeɪt/
auspices,/ˈɔːspɪsɪz/
autonomous,/ɔːˈtɒnəməs/
beguiling,/bɪˈgaɪlɪŋ/
belvedere,/ˈbɛlvɪˌdɪər/
bicuspid,/baɪˈkʌspɪd/
biennial,/baɪˈɛniəl/
cacophony,/kəˈkɒfəni/
colloquial,/kəˈloʊkwiəl/
commensurate,/kəˈmɛnsʊrət/
concierge,/ˌkɒnsiːˈɛrʒ/
contemporaneous,/kənˌtɛmpəˈreɪniəs/
delineate,/dɪˈliːniˌeɪt/
despotism,/ˈdɛspəˌtɪzəm/
disenfranchise,/ˌdɪsɛnˈfræntʃaɪz/
echelon,/ˈɛʃəˌlɒn/
eclectic,/ɪˈklɛktɪk/
emigrant,/ˈɛmɪgrənt/
encyclical,/ɛnˈsɪklɪkəl/
fallacious,/fəˈleɪʃəs/
filibuster,/ˈfɪlɪˌbʌstər/
fungible,/ˈfʌndʒɪbəl/
gimmicky,/ˈɡɪmɪki/
imperturbable,/ˌɪmpərˈtɜːrbəbəl/
incontrovertible,/ˌɪnkɒntrəˈvɜːrtɪbəl/
incredulously,/ɪnˈkrɛdjʊləsli/
indomitable,/ɪnˈdɒmɪtəbəl/
intransigence,/ɪnˈtrænsɪdʒəns/
knickknack,/ˈnɪkˌnak/
modicum,/ˈmɒdɪkəm/
myrrh,/mɜːr/
narcissus,/nɑːrˈsɪsəs/
neurosis,/nʊˈroʊsɪs/
opacity,/oʊˈpæsɪti/
opaqueness,/oʊˈpeɪknəs/
accommodate,əˈkɒməˌdeɪt
abstain,əbˈsteɪn
accumulate,əˈkjuːmʊˌleɪt
accustomed,əˈkʌstəmd
acoustics,əˈkuːstıks
acquaintance,əˈkweɪntəns
acquisition,əˌkwɪːzɪʃən
acquittal,əˈkwɪtəl
adolescence,ˌædəlˈesəns
adolescent,ˌædəlˈesənt
caricature,kærɪˈkʌtʃə
catastrophe,kəˈtæstrəfi
chameleon,ʃæməˈleɪən
chandelier,ʃændəˈliːə
characteristic,kærɪˈktəɾɪstɪk
chauffeur,ʃɒfœː
chrysanthemum,krɪˈzanθəməm
circumference,sɜːkəmˈfɛns
collaborate,kəˈlæbəreɪt
collateral,kəˈlætərəl
colleague,ˈkɒliːg
colonel,ˈkɜːnl
confiscate,kənˈfiskeit
confiscation,kənˈfisˈkeɪʃən
conscious,ˈkɒnʃəs
consequence,kənˈsekwəns
considerable,kənˈsɪdərəbəl
contagious,kənˈteɪdʒəs
controversy,kənˈtrəvɜːrsi
continuous,kənˈtɪnjuəs
correlation,kɒrəˈleɪʃən
council,ˈkaʊnsil
counsel,ˈkaʊnsəl
criticism,krɪˈtɪsɪzəm
criticize,ˈkrɪtɪsaɪz
abandon,əbˈdɑːn
abbreviation,ˌæbˌdɪvɪˈeɪʃən
absence,ˈæbˌsɛns
absolutely,ˈæbˌsəlʊtli
absorb,əbˈsɔːb
abundant,əˈbʌndənt
accessible,əˈksesəbəl
accompanied,əˈkampəˌniːd
accomplishment,əˈkʌmplɪʃmənt
accurate,ˈækjəˌrət
achievement,əˈʧɪvmənt
acres,eɪkər
adequate,ˈædɪkwət
adjustable,əˈdʒʌstəbəl
admit,ədˈmɪt
admittance,ədˈmɪtəns
advice,ədˈvaɪs
advise,ədˈvaɪz
afghan,æfˈɡæn
alternate,ˈɔːltəˌneɪt
